surname
Acharya
Agarwal
Agate
Aggarwal
Agrawal
Ahluwalia
Ahuja
Amble
Anand
Andra
Anne
Apte
Arora
Arya
Atwal
Aurora
Babu
Badal
Badami
Bahl
Bahri
Bail
Bains
Bajaj
Bajwa
Bakshi
Bal
Bala
Balakrishnan
Balan
Balasubramanian
Balay
Bali
Bandi
Banerjee
Banik
Bansal
Barad
Baral
Baria
Barman
Basak
Bassi
Basu
Bath
Batra
Batta
Bava
Bawa
Bedi
Behl
Ben
Bera
Bhagat
Bhakta
Bhalla
Bhandari
Bhardwaj
Bhargava
Bhasin
Bhat
Bhatia
Bhatnagar
Bhatt
Bhattacharyya
Bhatti
Bhavsar
Bir
Biswas
Boase
Bobal
Bora
Borah
Borde
Borra
Bose
Brahmbhatt
Brar
Buch
Bumb
Butala
Chacko
Chad
Chada
Chadha
Chahal
Chakrabarti
Chakraborty
Chana
Chand
Chanda
Chander
Chandra
Chandran
Char
Chatterjee
Chaudhari
Chaudhary
Chaudhry
Chaudhuri
Chaudry
Chauhan
Chawla
Cheema
Cherian
Chhabra
Chokshi
Chopra
Choudhary
Choudhry
Choudhury
Chowdhury
Comar
Contractor
D’Alia
Dada
Dalal
Dani
Dar
Dara
Das
Dasgupta
Dash
Dass
Date
Datta
Dave
Dayal
De
Deep
Deo
Deol
Desai
Deshmukh
Deshpande
Devan
Devi
Dewan
Dey
Dhaliwal
Dhar
Dhawan
Dhillon
Dhingra
Din
Divan
Dixit
Doctor
Dora
Doshi
Dua
Dube
Dubey
Dugal
Dugar
Dutt
Dutta
Dyal
Edwin
Gaba
Gade
Gala
Gandhi
Ganesan
Ganesh
Ganguly
Gara
Garde
Garg
Gera
Ghose
Ghosh
Gill
Goda
Goel
Gokhale
Gola
Gole
Golla
Gopal
Goswami
Gour
Goyal
Grewal
Grover
Guha
Gulati
Gupta
Halder
Handa
Hans
Hari
Hayer
Hayre
Hegde
Hora
Issac
Iyengar
Iyer
Jaggi
Jain
Jani
Jayaraman
Jha
Jhaveri
Johal
Joshi
Kadakia
Kade
Kakar
Kala
Kale
Kalita
Kalla
Kamdar
Kanda
Kannan
Kant
Kapadia
Kapoor
Kapur
Kar
Kara
Karan
Kari
Karnik
Karpe
Kashyap
Kata
Kaul
Kaur
Keer
Khalsa
Khanna
Khare
Khatri
Khosla
Khurana
Kibe
Kohli
Konda
Korpal
Koshy
Kota
Kothari
Krish
Krishna
Krishnamurthy
Krishnan
Kulkarni
Kumar
Kumer
Kunda
Kurian
Kuruvilla
Lad
Lal
Lala
Lall
Lalla
Lanka
Lata
Loke
Loyal
Luthra
Madan
Magar
Mahajan
Mahal
Maharaj
Majumdar
Malhotra
Mall
Mallick
Mammen
Mand
Manda
Mandal
Mander
Mane
Mangal
Mangat
Mani
Mann
Mannan
Manne
Master
Mathai
Mathur
Matthai
Meda
Mehan
Mehra
Mehrotra
Mehta
Meka
Memon
Menon
Merchant
Minhas
Mishra
Misra
Mistry
Mital
Mitra
Mittal
Mitter
Modi
Mody
Mohan
Mohanty
Morar
More
Mukherjee
Mukhopadhyay
Muni
Munshi
Murthy
Murty
Mutti
Nadig
Nadkarni
Nagar
Nagarajan
Nagi
Nagy
Naidu
Naik
Nair
Nanda
Narain
Narang
Narasimhan
Narayan
Narayanan
Narula
Natarajan
Nath
Natt
Nayak
Nayar
Nazareth
Nigam
Nori
Oak
Om
Oommen
Oza
Padmanabhan
Pai
Pal
Palan
Pall
Palla
Panchal
Pandey
Pandit
Pandya
Pant
Parekh
Parikh
Parmar
Parmer
Parsa
Patel
Pathak
Patil
Patla
Pau
Peri
Pillai
Pillay
Pingle
Prabhakar
Prabhu
Pradhan
Prakash
Prasad
Prashad
Puri
Purohit
Radhakrishnan
Raghavan
Rai
Raj
Raja
Rajagopal
Rajagopalan
Rajan
Raju
Ram
Rama
Ramachandran
Ramakrishnan
Raman
Ramanathan
Ramaswamy
Ramesh
Rana
Randhawa
Ranganathan
Rao
Rastogi
Ratta
Rattan
Ratti
Rau
Raval
Ravel
Ravi
Ray
Reddy
Rege
Rout
Roy
Sabharwal
Sachar
Sachdev
Sachdeva
Sagar
Saha
Sahni
Sahota
Saini
Salvi
Sama
Sami
Sampath
Samra
Sandal
Sandhu
Sane
Sangha
Sanghvi
Sani
Sankar
Sankaran
Sant
Saraf
Saran
Sarin
Sarkar
Sarma
Sarna
Sarraf
Sastry
Sathe
Savant
Sawhney
Saxena
Sehgal
Sekhon
Sem
Sen
Sengupta
